	ID_GeneontologyIDs_	Gene ontology IDs
96	GO:0005783; GO:0005789; GO:0016021; GO:0017187; GO:0034599; GO:0042373; GO:0047057; GO:0048038	96
97	GO:0005049; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005829; GO:0006606; GO:0006611; GO:0016020; GO:0031267; GO:0070062	97
98	GO:0003779; GO:0005634; GO:0005829; GO:0005884; GO:0005886; GO:0006900; GO:0008154; GO:0009617; GO:0015629; GO:0016050; GO:0030027; GO:0030041; GO:0030048; GO:0030050; GO:0030478; GO:0030666; GO:0030695; GO:0031410; GO:0032880; GO:0034629; GO:0045944; GO:0051301; GO:0051491; GO:0051653; GO:0060997; GO:0065003; GO:0070062; GO:1903526; GO:2000370; GO:2000402; GO:2000601	98
99	GO:0000932; GO:0001556; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0006402; GO:0006959; GO:0007049; GO:0007276; GO:0007284; GO:0010494; GO:0030155; GO:0034063; GO:0034451; GO:0036464; GO:0043488; GO:0045087; GO:0045746; GO:0048598; GO:0050767; GO:0060339; GO:0061157; GO:0062153; GO:0070925; GO:0071425; GO:0098508; GO:1902036; GO:1903538; GO:1903679; GO:1990247; GO:2000232; GO:2000737	99
100	GO:0000139; GO:0005783; GO:0005794; GO:0006612; GO:0016021; GO:0018230; GO:0019706; GO:0048471; GO:0097356	100
101	GO:0000977; GO:0000981; GO:0005634; GO:0006325; GO:0006357; GO:0046872	101
102	GO:0001650; GO:0003712; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006355; GO:0008283; GO:0030154; GO:0051726	102
103	GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0046872	103
104	GO:0001934; GO:0001938; GO:0001944; GO:0001945; GO:0001946; GO:0002040; GO:0002244; GO:0003016; GO:0004714; GO:0005021; GO:0005524; GO:0005576; GO:0005654; GO:0005829; GO:0005886; GO:0005887; GO:0007169; GO:0008284; GO:0010575; GO:0010595; GO:0018108; GO:0019838; GO:0019903; GO:0033674; GO:0035924; GO:0038084; GO:0042803; GO:0043066; GO:0043235; GO:0043410; GO:0046330; GO:0046777; GO:0048010; GO:0048286; GO:0048514; GO:0060312; GO:0070374; GO:0090037	104
105	GO:0005765; GO:0007035; GO:0010008; GO:0016021; GO:0016241; GO:0016787; GO:0030670; GO:0033179; GO:0042625; GO:0046961; GO:0055085; GO:1902600	105
106	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0005654; GO:0006357; GO:0043565; GO:0045944; GO:1990837	106
107	GO:0003729; GO:0016973; GO:0046872	107
108	GO:0001889; GO:0001972; GO:0004857; GO:0005496; GO:0005783; GO:0005789; GO:0005887; GO:0006789; GO:0006953; GO:0007584; GO:0008202; GO:0008210; GO:0015020; GO:0017144; GO:0019899; GO:0031100; GO:0032496; GO:0034663; GO:0042493; GO:0042573; GO:0042594; GO:0042803; GO:0045922; GO:0045939; GO:0046483; GO:0046982; GO:0048471; GO:0051552; GO:0052695; GO:0052696; GO:0052697; GO:0070069; GO:0070980; GO:0071361; GO:0071385; GO:0071392; GO:1904224; GO:2001030	108
109	GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0006914; GO:0009267; GO:0019898; GO:0019901; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025; GO:1901981	109
110	GO:0000731; GO:0003677; GO:0005524; GO:0005634; GO:0006261; GO:0006282; GO:0008047; GO:0016020; GO:0016887; GO:0017116; GO:0030174; GO:0042802; GO:0045087; GO:0046872; GO:0048471; GO:0140603	110
111	GO:0000462; GO:0005654; GO:0005694; GO:0005730; GO:0030515; GO:0032040; GO:0034388	111
112	GO:0003676; GO:0004190	112
113	GO:0005576; GO:0010628; GO:0010884; GO:0016021; GO:0030154; GO:0042802; GO:0070352; GO:0071773; GO:0090336	113
